block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
16,16,ext1,6,24000,24000,204750,204749,106.6820,0.05,2,4,8,16,11.6,1.630e-05,1.0,80
16,16,ext1,7,24000,24000,204749,204749,106.6903,0.05,2,4,8,16,11.6,1.629e-05,1.0,96
16,16,ext1,8,24000,24000,204749,204749,106.6986,0.05,2,4,8,16,11.6,1.629e-05,1.0,112
16,64,ext1,1,16,16,192000,227811,118.6514,,,,,,,,1.0,0
16,64,ext1,2,16,16,227811,227784,118.6458,11.72,2,5,9,24,1408.0,3.015e-02,1.0,16
16,64,ext1,3,16,16,227787,227760,118.6419,11.72,2,5,9,24,1409.2,3.016e-02,1.0,32
16,64,ext1,4,16,16,227764,227737,118.6379,11.72,2,5,9,24,1410.4,3.017e-02,1.0,48
16,64,ext1,5,16,16,227740,227713,118.6340,11.72,2,5,9,24,1411.6,3.017e-02,1.0,64
16,64,ext1,6,16,16,227716,227690,118.6300,11.72,2,5,9,24,1412.9,3.018e-02,1.0,80
16,64,ext1,7,16,16,227693,227666,118.6261,11.72,2,5,9,24,1414.1,3.019e-02,1.0,96
16,64,ext1,8,16,16,227669,227642,118.6221,11.72,2,5,9,24,1415.3,3.020e-02,1.0,112
16,64,ext1,1,32,32,192000,227105,118.2840,,,,,,,,1.0,0
16,64,ext1,2,32,32,227105,227069,118.2735,16.52,2,5,9,24,2506.3,4.398e-02,1.0,16
16,64,ext1,3,32,32,227064,227028,118.2602,16.51,2,5,9,24,2504.4,4.395e-02,1.0,32
16,64,ext1,4,32,32,227022,226986,118.2468,16.49,2,5,9,24,2502.5,4.392e-02,1.0,48
16,64,ext1,5,32,32,226980,226944,118.2334,16.48,2,5,9,24,2500.6,4.389e-02,1.0,64
16,64,ext1,6,32,32,226938,226902,118.2200,16.47,2,5,9,24,2498.7,4.386e-02,1.0,80
16,64,ext1,7,32,32,226896,226860,118.2064,16.45,2,5,9,24,2496.8,4.383e-02,1.0,96
16,64,ext1,8,32,32,226854,226818,118.1929,16.44,2,5,9,24,2494.9,4.380e-02,1.0,112
16,64,ext1,1,128,128,192000,213200,111.0418,,,,,,,,1.0,0
16,64,ext1,2,128,128,213200,213200,111.0500,0.10,2,5,8,17,7.0,3.615e-06,1.0,16
16,64,ext1,3,128,128,213200,213200,111.0581,0.10,2,5,8,17,7.0,3.616e-06,1.0,32
16,64,ext1,4,128,128,213199,213199,111.0662,0.10,2,5,8,17,7.0,3.616e-06,1.0,48
16,64,ext1,5,128,128,213199,213199,111.0744,0.10,2,5,8,17,7.0,3.617e-06,1.0,64
16,64,ext1,6,128,128,213199,213198,111.0825,0.10,2,5,8,17,7.0,3.617e-06,1.0,80
16,64,ext1,7,128,128,213198,213198,111.0906,0.10,2,5,8,17,7.0,3.618e-06,1.0,96
16,64,ext1,8,128,128,213198,213198,111.0987,0.10,2,5,8,17,7.0,3.618e-06,1.0,112
16,64,ext1,1,1024,1024,192000,195751,101.9534,,,,,,,,1.0,0
16,64,ext1,2,1024,1024,195751,195751,101.9617,0.00,4,8,11,11,0.0,1.118e-10,1.0,16
16,64,ext1,3,1024,1024,195751,195751,101.9701,0.00,4,8,11,11,0.0,1.118e-10,1.0,32
16,64,ext1,1,24000,24000,192000,195938,102.0508,,,,,,,,1.0,0
16,64,ext1,2,24000,24000,195938,195937,102.0591,0.00,2,4,8,12,0.7,2.746e-07,1.0,16
16,64,ext1,3,24000,24000,195937,195937,102.0674,0.00,2,4,8,12,0.7,2.746e-07,1.0,32
24,5,ext1,1,16,16,288000,323860,112.4513,,,,,,,,1.0,0
24,5,ext1,2,16,16,323860,323845,112.4517,5.88,2,5,8,20,0.1,2.660e-05,1.0,16
